,mean,median,std,min,max,range,volume,atlas,region_id,atlas_priority
ASHS_ASHS_Region_55,0.29361003902137073,0.3113236278295517,0.0731594204418548,0.06040133908390999,0.44358760118484497,0.383186262100935,9688,ashs,55,3
AAL_AAL_Region_5201,0.3330200132302974,0.3552192151546478,0.07916476006709382,0.0,0.4803580641746521,0.4803580641746521,26160,aal,5201,1
AAL_AAL_Region_7102,0.2878031114071375,0.3311626762151718,0.0878319718765802,0.03498227894306183,0.4061752259731293,0.37119294703006744,8456,aal,7102,1
DESIKAN_Temporal Occipital Fusiform Cortex,0.28514908064141553,0.29021111130714417,0.06725225625295943,0.09384914487600327,0.41203397512435913,0.31818483024835587,11752,desikan,39,4
ASHS_ASHS_Region_18,0.34581558270143714,0.35426685214042664,0.124458670050989,0.04895913228392601,0.6513215899467468,0.6023624576628208,13880,ashs,18,3
ASHS_ASHS_Region_15,0.20502881929620773,0.18184920400381088,0.12317300904019197,0.0,0.5101360082626343,0.5101360082626343,19040,ashs,15,3
AAL_AAL_Region_9170,0.25224464636994526,0.3120577335357666,0.10644748831596772,0.04949013143777847,0.37301105260849,0.3235209211707115,896,aal,9170,1
ASHS_ASHS_Region_78,0.25796619297501944,0.28241750597953796,0.10661600999832761,0.0,0.4289899468421936,0.4289899468421936,12000,ashs,78,3
AAL_AAL_Region_9031,0.221648061103291,0.24477164447307587,0.08627299260345735,0.0,0.39989402890205383,0.39989402890205383,9000,aal,9031,1
AAL_AAL_Region_7011,0.34884331503105825,0.35091543197631836,0.024674488626434704,0.2619324326515198,0.40853816270828247,0.1466057300567627,8072,aal,7011,1
"DESIKAN_Parahippocampal Gyrus, anterior division",0.19715052585506315,0.20444858819246292,0.09119845662891761,0.0,0.3907323181629181,0.3907323181629181,9984,desikan,34,3
DESIKAN_Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.22491753428535552,0.22152967751026154,0.11334993039771124,0.0,0.4212932586669922,0.4212932586669922,11872,desikan,26,4
AAL_AAL_Region_9051,0.42532192666847735,0.55770343542099,0.24841918419617076,0.0,0.6855077743530273,0.6855077743530273,4680,aal,9051,1
AAL_AAL_Region_9001,0.22167642868030565,0.24623055756092072,0.10550677109717461,0.0,0.6708541512489319,0.6708541512489319,20824,aal,9001,1
AAL_AAL_Region_2002,0.2579765118982481,0.2951407879590988,0.12869888645882083,0.0,0.43882811069488525,0.43882811069488525,27048,aal,2002,1
ASHS_ASHS_Region_92,0.23581035948288712,0.26942360401153564,0.12419050034489285,0.022758647799491882,0.42870816588401794,0.40594951808452606,8864,ashs,92,3
AAL_AAL_Region_4202,0.25487128632413525,0.279928520321846,0.08382095665990318,0.04950495809316635,0.3965257406234741,0.34702078253030777,1984,aal,4202,1
AAL_AAL_Region_9140,0.29626153516295106,0.2729942947626114,0.12926727853396405,0.06219659373164177,0.6395048499107361,0.5773082561790943,1552,aal,9140,1
"DESIKAN_Supramarginal Gyrus, anterior division",0.28311432195863717,0.3097773790359497,0.1051462275492869,0.051371749490499496,0.4512302279472351,0.3998584784567356,13936,desikan,19,4
DESIKAN_Planum Polare,0.17671155569532784,0.1486499235033989,0.09249365378301143,0.037934985011816025,0.3876245319843292,0.3496895469725132,5992,desikan,44,2
ASHS_ASHS_Region_88,0.2746484660936509,0.2851296216249466,0.08168180753483151,0.04524315893650055,0.4302666485309601,0.38502348959445953,9896,ashs,88,3
ASHS_ASHS_Region_51,0.27016424709902687,0.28079594671726227,0.08050206478296461,0.03273259103298187,0.4127888083457947,0.3800562173128128,10520,ashs,51,3
AAL_AAL_Region_6302,0.3049301297571453,0.32421109080314636,0.09765286796689905,0.0,0.5559566617012024,0.5559566617012024,26120,aal,6302,1
"DESIKAN_Temporal Fusiform Cortex, posterior division",0.23884864016570423,0.2561342120170593,0.08946908359231891,0.0,0.41587528586387634,0.41587528586387634,12752,desikan,38,4
AAL_AAL_Region_5301,0.3381857345935737,0.3551039397716522,0.06412214657901874,0.06618521362543106,0.4341486990451813,0.3679634854197502,7528,aal,5301,1
ASHS_ASHS_Region_45,0.27923380948676035,0.2978697270154953,0.09664293804482849,0.0,0.45638376474380493,0.45638376474380493,12472,ashs,45,3
ASHS_ASHS_Region_91,0.2820412503000064,0.30426207184791565,0.10078777773009381,0.0,0.444742888212204,0.444742888212204,15160,ashs,91,3
AAL_AAL_Region_9032,0.24814189584172924,0.2674264758825302,0.07610039843741935,0.0,0.40310138463974,0.40310138463974,6888,aal,9032,1
AAL_AAL_Region_9120,0.21081837919519697,0.227009117603302,0.08375270257998313,0.051842037588357925,0.3764834403991699,0.324641402810812,5320,aal,9120,1
DESIKAN_Frontal Pole,0.2623743209725364,0.2904641032218933,0.11678683883587462,0.0,0.46242982149124146,0.46242982149124146,123176,desikan,1,4
AAL_AAL_Region_2102,0.24719832700868258,0.27654629945755005,0.1269571866398794,0.0,0.45962661504745483,0.45962661504745483,32448,aal,2102,1
ASHS_ASHS_Region_79,0.24762319402660443,0.26668570935726166,0.1021927405903734,0.0,0.4560340642929077,0.4560340642929077,15824,ashs,79,3
AAL_AAL_Region_7012,0.34098329095176905,0.3447142392396927,0.02846072343946009,0.15314890444278717,0.40869250893592834,0.2555436044931412,8512,aal,7012,1
AAL_AAL_Region_7021,0.38529905192426855,0.3891773074865341,0.02350577721931322,0.12515783309936523,0.4310000538825989,0.30584222078323364,2344,aal,7021,1
AAL_AAL_Region_9072,0.2719095562134578,0.2909091114997864,0.09189176276865316,0.0,0.502770721912384,0.502770721912384,6472,aal,9072,1
AAL_AAL_Region_6002,0.25324337292957605,0.2742505967617035,0.11930533259782472,0.0,0.44705912470817566,0.44705912470817566,30584,aal,6002,1
ASHS_CA1,0.27364825393408726,0.28234703838825226,0.08242821625028124,0.03778805211186409,0.4141289293766022,0.3763408772647381,6352,ashs,1,5
DESIKAN_Angular Gyrus,0.28423190655108677,0.30274413526058197,0.09744955904898472,0.0,0.45434847474098206,0.45434847474098206,19272,desikan,21,4
